Department,GroupName,EmployeeID,Shift,StartDate,EndDate
Engineering,Research and Development,11,Day,1998-02-24T00:00:00,
Engineering,Research and Development,270,Day,2001-02-18T00:00:00,
Engineering,Research and Development,12,Day,1998-03-03T00:00:00,
Engineering,Research and Development,3,Day,1997-12-12T00:00:00,
Engineering,Research and Development,4,Day,1998-01-05T00:00:00,2000-06-30T00:00:00
Engineering,Research and Development,267,Day,2001-01-30T00:00:00,
Engineering,Research and Development,9,Day,1998-02-06T00:00:00,
Tool Design,Research and Development,4,Day,2000-07-01T00:00:00,
Tool Design,Research and Development,5,Day,1998-01-11T00:00:00,
Tool Design,Research and Development,263,Day,2001-01-05T00:00:00,
Tool Design,Research and Development,265,Day,2001-01-23T00:00:00,
Sales,Sales and Marketing,275,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,278,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,283,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,279,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,277,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,276,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,280,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,281,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,282,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,285,Day,2002-07-01T00:00:00,
Sales,Sales and Marketing,286,Day,2002-07-01T00:00:00,
Sales,Sales and Marketing,287,Day,2002-11-01T00:00:00,
Sales,Sales and Marketing,289,Day,2003-07-01T00:00:00,
Sales,Sales and Marketing,290,Day,2003-07-01T00:00:00,
Sales,Sales and Marketing,273,Day,2001-03-18T00:00:00,
Sales,Sales and Marketing,284,Day,2002-05-18T00:00:00,
Sales,Sales and Marketing,268,Day,2001-02-04T00:00:00,
Sales,Sales and Marketing,288,Day,2003-04-15T00:00:00,
Marketing,Sales and Marketing,6,Day,1999-08-16T00:00:00,
Marketing,Sales and Marketing,272,Day,2001-03-17T00:00:00,
Marketing,Sales and Marketing,2,Day,1997-02-26T00:00:00,
Marketing,Sales and Marketing,271,Day,2001-03-10T00:00:00,
Marketing,Sales and Marketing,119,Day,1999-02-19T00:00:00,
Marketing,Sales and Marketing,203,Day,1999-04-03T00:00:00,
Marketing,Sales and Marketing,274,Day,2001-03-28T00:00:00,2001-08-30T00:00:00
Marketing,Sales and Marketing,46,Day,1999-01-13T00:00:00,
Marketing,Sales and Marketing,106,Day,1999-02-13T00:00:00,
Marketing,Sales and Marketing,269,Day,2001-02-07T00:00:00,
Purchasing,Inventory Management,238,Day,2000-02-24T00:00:00,
Purchasing,Inventory Management,274,Day,2002-08-16T00:00:00,
Purchasing,Inventory Management,261,Day,2000-04-09T00:00:00,
Purchasing,Inventory Management,266,Day,2001-01-25T00:00:00,
Purchasing,Inventory Management,198,Day,1999-04-01T00:00:00,
Purchasing,Inventory Management,223,Day,2000-01-18T00:00:00,
Purchasing,Inventory Management,244,Day,2000-03-03T00:00:00,
Purchasing,Inventory Management,233,Day,2000-02-12T00:00:00,
Purchasing,Inventory Management,241,Day,2000-02-28T00:00:00,
Purchasing,Inventory Management,6,Day,1998-01-20T00:00:00,1999-08-15T00:00:00
Purchasing,Inventory Management,231,Day,2000-02-05T00:00:00,
Purchasing,Inventory Management,264,Day,2001-01-06T00:00:00,
Purchasing,Inventory Management,164,Day,1999-03-14T00:00:00,
Research and Development,Research and Development,114,Day,1999-02-17T00:00:00,
Research and Development,Research and Development,158,Day,1999-03-12T00:00:00,
Research and Development,Research and Development,217,Day,1999-06-04T00:00:00,
Research and Development,Research and Development,79,Day,1999-01-30T00:00:00,
Production,Manufacturing,247,Day,2000-03-08T00:00:00,
Production,Manufacturing,246,Evening,2000-03-08T00:00:00,
Production,Manufacturing,250,Day,2000-03-16T00:00:00,
Production,Manufacturing,32,Day,1999-01-08T00:00:00,
Production,Manufacturing,33,Evening,1999-01-08T00:00:00,
Production,Manufacturing,36,Day,1999-01-08T00:00:00,
Production,Manufacturing,51,Evening,1999-01-16T00:00:00,
Production,Manufacturing,53,Evening,1999-01-16T00:00:00,
Production,Manufacturing,52,Day,1999-01-16T00:00:00,
Production,Manufacturing,65,Evening,1999-01-24T00:00:00,
Production,Manufacturing,97,Night,1999-02-08T00:00:00,
Production,Manufacturing,96,Day,1999-02-08T00:00:00,2001-10-01T00:00:00
Production,Manufacturing,112,Evening,1999-02-16T00:00:00,
Production,Manufacturing,129,Day,1999-02-24T00:00:00,
Production,Manufacturing,151,Day,1999-03-08T00:00:00,
Production,Manufacturing,167,Night,1999-03-16T00:00:00,
Production,Manufacturing,182,Night,1999-03-24T00:00:00,
Production,Manufacturing,181,Night,1999-03-24T00:00:00,
Production,Manufacturing,214,Evening,1999-04-08T00:00:00,
Production,Manufacturing,213,Day,1999-04-08T00:00:00,
Production,Manufacturing,235,Day,2000-02-17T00:00:00,
Production,Manufacturing,239,Day,2000-02-25T00:00:00,
Production,Manufacturing,240,Evening,2000-02-25T00:00:00,
Production,Manufacturing,243,Evening,2000-03-01T00:00:00,
Production,Manufacturing,37,Night,1999-01-09T00:00:00,
Production,Manufacturing,38,Day,1999-01-09T00:00:00,
Production,Manufacturing,55,Evening,1999-01-17T00:00:00,
Production,Manufacturing,67,Night,1999-01-25T00:00:00,
Production,Manufacturing,68,Day,1999-01-25T00:00:00,
Production,Manufacturing,81,Day,1999-02-01T00:00:00,
Production,Manufacturing,98,Night,1999-02-09T00:00:00,
Production,Manufacturing,113,Day,1999-02-17T00:00:00,
Production,Manufacturing,152,Day,1999-03-09T00:00:00,
Production,Manufacturing,153,Night,1999-03-09T00:00:00,
Production,Manufacturing,168,Night,1999-03-17T00:00:00,
Production,Manufacturing,169,Day,1999-03-17T00:00:00,
Production,Manufacturing,183,Day,1999-03-25T00:00:00,
Production,Manufacturing,184,Day,1999-03-25T00:00:00,
Production,Manufacturing,199,Night,1999-04-01T00:00:00,
Production,Manufacturing,215,Day,1999-04-09T00:00:00,
Production,Manufacturing,227,Evening,2000-01-26T00:00:00,
Production,Manufacturing,228,Evening,2000-01-26T00:00:00,
Production,Manufacturing,230,Day,2000-02-02T00:00:00,
Production,Manufacturing,236,Evening,2000-02-18T00:00:00,
Production,Manufacturing,255,Evening,2000-03-26T00:00:00,
Production,Manufacturing,254,Evening,2000-03-26T00:00:00,
Production,Manufacturing,262,Night,2000-04-10T00:00:00,
Production,Manufacturing,7,Night,1998-01-26T00:00:00,
Production,Manufacturing,18,Evening,1998-04-18T00:00:00,
Production,Manufacturing,20,Night,1999-01-02T00:00:00,
Production,Manufacturing,39,Night,1999-01-10T00:00:00,
Production,Manufacturing,40,Evening,1999-01-10T00:00:00,
Production,Manufacturing,58,Day,1999-01-18T00:00:00,
Production,Manufacturing,57,Day,1999-01-18T00:00:00,
Production,Manufacturing,56,Day,1999-01-18T00:00:00,
Production,Manufacturing,69,Day,1999-01-26T00:00:00,
Production,Manufacturing,83,Day,1999-02-02T00:00:00,
Production,Manufacturing,115,Day,1999-02-18T00:00:00,
Production,Manufacturing,116,Day,1999-02-18T00:00:00,
Production,Manufacturing,131,Evening,1999-02-26T00:00:00,
Production,Manufacturing,138,Day,1999-03-02T00:00:00,
Production,Manufacturing,137,Day,1999-03-02T00:00:00,
Production,Manufacturing,171,Day,1999-03-18T00:00:00,
Production,Manufacturing,185,Day,1999-03-26T00:00:00,
Production,Manufacturing,186,Night,1999-03-26T00:00:00,
Production,Manufacturing,224,Night,2000-01-19T00:00:00,
Production,Manufacturing,248,Evening,2000-03-11T00:00:00,
Production,Manufacturing,257,Evening,2000-04-03T00:00:00,
Production,Manufacturing,14,Night,1998-03-11T00:00:00,
Production,Manufacturing,17,Day,1998-04-11T00:00:00,
Production,Manufacturing,22,Night,1999-01-03T00:00:00,
Production,Manufacturing,23,Night,1999-01-03T00:00:00,
Production,Manufacturing,24,Day,1999-01-03T00:00:00,
Production,Manufacturing,73,Evening,1999-01-27T00:00:00,
Production,Manufacturing,86,Day,1999-02-03T00:00:00,
Production,Manufacturing,84,Night,1999-02-03T00:00:00,
Production,Manufacturing,99,Night,1999-02-11T00:00:00,
Production,Manufacturing,118,Night,1999-02-19T00:00:00,
Production,Manufacturing,133,Night,1999-02-27T00:00:00,
Production,Manufacturing,172,Night,1999-03-19T00:00:00,
Production,Manufacturing,174,Evening,1999-03-19T00:00:00,
Production,Manufacturing,173,Night,1999-03-19T00:00:00,
Production,Manufacturing,187,Night,1999-03-27T00:00:00,
Production,Manufacturing,189,Day,1999-03-27T00:00:00,
Production,Manufacturing,202,Evening,1999-04-03T00:00:00,
Production,Manufacturing,219,Evening,2000-01-04T00:00:00,
Production,Manufacturing,221,Day,2000-01-12T00:00:00,
Production,Manufacturing,222,Evening,2000-01-12T00:00:00,
Production,Manufacturing,245,Night,2000-03-04T00:00:00,
Production,Manufacturing,258,Day,2000-04-04T00:00:00,
Production,Manufacturing,25,Evening,1999-01-04T00:00:00,
Production,Manufacturing,60,Evening,1999-01-20T00:00:00,
Production,Manufacturing,61,Night,1999-01-20T00:00:00,
Production,Manufacturing,74,Evening,1999-01-28T00:00:00,
Production,Manufacturing,75,Evening,1999-01-28T00:00:00,
Production,Manufacturing,76,Night,1999-01-28T00:00:00,
Production,Manufacturing,87,Night,1999-02-04T00:00:00,
Production,Manufacturing,88,Day,1999-02-04T00:00:00,
Production,Manufacturing,101,Night,1999-02-12T00:00:00,
Production,Manufacturing,100,Evening,1999-02-12T00:00:00,
Production,Manufacturing,134,Day,1999-02-28T00:00:00,
Production,Manufacturing,135,Evening,1999-02-28T00:00:00,
Production,Manufacturing,136,Night,1999-02-28T00:00:00,
Production,Manufacturing,141,Day,1999-03-04T00:00:00,
Production,Manufacturing,142,Evening,1999-03-04T00:00:00,
Production,Manufacturing,159,Evening,1999-03-12T00:00:00,
Production,Manufacturing,156,Night,1999-03-12T00:00:00,
Production,Manufacturing,155,Day,1999-03-12T00:00:00,
Production,Manufacturing,157,Day,1999-03-12T00:00:00,
Production,Manufacturing,175,Day,1999-03-20T00:00:00,
Production,Manufacturing,177,Evening,1999-03-20T00:00:00,
Production,Manufacturing,190,Day,1999-03-28T00:00:00,
Production,Manufacturing,204,Day,1999-04-04T00:00:00,
Production,Manufacturing,205,Night,1999-04-04T00:00:00,
Production,Manufacturing,234,Night,2000-02-13T00:00:00,
Production,Manufacturing,13,Day,1998-03-05T00:00:00,
Production,Manufacturing,19,Day,1998-04-29T00:00:00,
Production,Manufacturing,27,Night,1999-01-05T00:00:00,
Production,Manufacturing,26,Day,1999-01-05T00:00:00,
Production,Manufacturing,45,Day,1999-01-13T00:00:00,
Production,Manufacturing,43,Evening,1999-01-13T00:00:00,
Production,Manufacturing,78,Night,1999-01-29T00:00:00,
Production,Manufacturing,91,Day,1999-02-05T00:00:00,
Production,Manufacturing,92,Evening,1999-02-05T00:00:00,
Production,Manufacturing,89,Day,1999-02-05T00:00:00,
Production,Manufacturing,104,Evening,1999-02-13T00:00:00,
Production,Manufacturing,105,Day,1999-02-13T00:00:00,
Production,Manufacturing,120,Day,1999-02-21T00:00:00,
Production,Manufacturing,143,Evening,1999-03-05T00:00:00,
Production,Manufacturing,160,Night,1999-03-13T00:00:00,
Production,Manufacturing,192,Day,1999-03-29T00:00:00,
Production,Manufacturing,207,Day,1999-04-05T00:00:00,
Production,Manufacturing,229,Evening,2000-01-30T00:00:00,
Production,Manufacturing,256,Evening,2000-03-30T00:00:00,
Production,Manufacturing,8,Day,1998-02-06T00:00:00,
Production,Manufacturing,16,Day,1998-03-30T00:00:00,
Production,Manufacturing,29,Night,1999-01-06T00:00:00,
Production,Manufacturing,62,Day,1999-01-22T00:00:00,
Production,Manufacturing,80,Day,1999-01-30T00:00:00,
Production,Manufacturing,93,Evening,1999-02-06T00:00:00,
Production,Manufacturing,107,Day,1999-02-14T00:00:00,
Production,Manufacturing,123,Day,1999-02-22T00:00:00,
Production,Manufacturing,122,Night,1999-02-22T00:00:00,
Production,Manufacturing,124,Day,1999-02-22T00:00:00,
Production,Manufacturing,146,Day,1999-03-06T00:00:00,
Production,Manufacturing,144,Evening,1999-03-06T00:00:00,
Production,Manufacturing,163,Evening,1999-03-14T00:00:00,
Production,Manufacturing,162,Day,1999-03-14T00:00:00,
Production,Manufacturing,179,Day,1999-03-22T00:00:00,
Production,Manufacturing,196,Evening,1999-03-30T00:00:00,
Production,Manufacturing,194,Night,1999-03-30T00:00:00,
Production,Manufacturing,193,Evening,1999-03-30T00:00:00,
Production,Manufacturing,197,Night,1999-03-30T00:00:00,
Production,Manufacturing,208,Evening,1999-04-06T00:00:00,
Production,Manufacturing,210,Day,1999-04-06T00:00:00,
Production,Manufacturing,209,Day,1999-04-06T00:00:00,
Production,Manufacturing,220,Evening,2000-01-07T00:00:00,
Production,Manufacturing,226,Evening,2000-01-23T00:00:00,
Production,Manufacturing,232,Day,2000-02-07T00:00:00,
Production,Manufacturing,237,Day,2000-02-23T00:00:00,
Production,Manufacturing,249,Evening,2000-03-15T00:00:00,
Production,Manufacturing,252,Night,2000-03-23T00:00:00,
Production,Manufacturing,1,Day,1996-07-31T00:00:00,
Production,Manufacturing,10,Day,1998-02-07T00:00:00,
Production,Manufacturing,15,Day,1998-03-23T00:00:00,
Production,Manufacturing,31,Day,1999-01-07T00:00:00,
Production,Manufacturing,50,Day,1999-01-15T00:00:00,
Production,Manufacturing,48,Day,1999-01-15T00:00:00,
Production,Manufacturing,64,Night,1999-01-23T00:00:00,
Production,Manufacturing,63,Night,1999-01-23T00:00:00,
Production,Manufacturing,95,Evening,1999-02-07T00:00:00,
Production,Manufacturing,108,Day,1999-02-15T00:00:00,
Production,Manufacturing,110,Evening,1999-02-15T00:00:00,
Production,Manufacturing,126,Day,1999-02-23T00:00:00,
Production,Manufacturing,125,Night,1999-02-23T00:00:00,
Production,Manufacturing,147,Evening,1999-03-07T00:00:00,
Production,Manufacturing,148,Day,1999-03-07T00:00:00,
Production,Manufacturing,165,Evening,1999-03-15T00:00:00,
Production,Manufacturing,180,Evening,1999-03-23T00:00:00,
Production,Manufacturing,211,Day,1999-04-07T00:00:00,
Production Control,Manufacturing,170,Evening,1999-03-17T00:00:00,
Production Control,Manufacturing,96,Day,2001-10-02T00:00:00,
Production Control,Manufacturing,21,Day,1999-01-02T00:00:00,
Production Control,Manufacturing,132,Day,1999-02-27T00:00:00,
Production Control,Manufacturing,206,Night,1999-04-04T00:00:00,
Production Control,Manufacturing,44,Day,1999-01-13T00:00:00,
Human Resources,Executive General and Administration,70,Day,1999-01-26T00:00:00,
Human Resources,Executive General and Administration,82,Day,1999-02-02T00:00:00,
Human Resources,Executive General and Administration,154,Day,1999-03-10T00:00:00,
Human Resources,Executive General and Administration,191,Day,1999-03-29T00:00:00,
Human Resources,Executive General and Administration,47,Day,1999-01-14T00:00:00,
Human Resources,Executive General and Administration,30,Day,1999-01-07T00:00:00,
Finance,Executive General and Administration,130,Day,1999-02-25T00:00:00,
Finance,Executive General and Administration,216,Day,1999-04-09T00:00:00,
Finance,Executive General and Administration,71,Day,1999-01-26T00:00:00,
Finance,Executive General and Administration,201,Day,1999-04-02T00:00:00,
Finance,Executive General and Administration,59,Day,1999-01-19T00:00:00,
Finance,Executive General and Administration,139,Day,1999-03-03T00:00:00,
Finance,Executive General and Administration,140,Day,1999-03-04T00:00:00,2003-12-15T00:00:00
Finance,Executive General and Administration,103,Day,1999-02-13T00:00:00,
Finance,Executive General and Administration,178,Day,1999-03-22T00:00:00,
Finance,Executive General and Administration,94,Day,1999-02-07T00:00:00,
Finance,Executive General and Administration,166,Day,1999-03-15T00:00:00,
Information Services,Executive General and Administration,66,Day,1999-01-24T00:00:00,
Information Services,Executive General and Administration,150,Day,1999-03-08T00:00:00,
Information Services,Executive General and Administration,117,Day,1999-02-18T00:00:00,
Information Services,Executive General and Administration,188,Day,1999-03-27T00:00:00,
Information Services,Executive General and Administration,42,Day,1999-01-12T00:00:00,
Information Services,Executive General and Administration,102,Day,1999-02-12T00:00:00,
Information Services,Executive General and Administration,176,Day,1999-03-20T00:00:00,
Information Services,Executive General and Administration,28,Evening,1999-01-05T00:00:00,
Information Services,Executive General and Administration,128,Day,1999-02-23T00:00:00,
Information Services,Executive General and Administration,149,Day,1999-03-07T00:00:00,
Document Control,Quality Assurance,54,Night,1999-01-17T00:00:00,
Document Control,Quality Assurance,90,Day,1999-02-05T00:00:00,
Document Control,Quality Assurance,161,Day,1999-03-13T00:00:00,
Document Control,Quality Assurance,127,Day,1999-02-23T00:00:00,
Document Control,Quality Assurance,212,Evening,1999-04-07T00:00:00,
Quality Assurance,Quality Assurance,111,Day,1999-02-16T00:00:00,
Quality Assurance,Quality Assurance,200,Day,1999-04-01T00:00:00,
Quality Assurance,Quality Assurance,253,Night,2000-03-26T00:00:00,
Quality Assurance,Quality Assurance,41,Day,1999-01-10T00:00:00,
Quality Assurance,Quality Assurance,77,Day,1999-01-29T00:00:00,
Quality Assurance,Quality Assurance,145,Evening,1999-03-06T00:00:00,
Quality Assurance,Quality Assurance,274,Day,2001-08-31T00:00:00,2002-08-15T00:00:00
Facilities and Maintenance,Executive General and Administration,218,Day,2000-01-03T00:00:00,
Facilities and Maintenance,Executive General and Administration,251,Night,2000-03-19T00:00:00,
Facilities and Maintenance,Executive General and Administration,242,Evening,2000-02-28T00:00:00,
Facilities and Maintenance,Executive General and Administration,259,Evening,2000-04-05T00:00:00,
Facilities and Maintenance,Executive General and Administration,225,Day,2000-01-22T00:00:00,
Facilities and Maintenance,Executive General and Administration,260,Night,2000-04-07T00:00:00,
Facilities and Maintenance,Executive General and Administration,49,Day,1999-01-15T00:00:00,
Shipping and Receiving,Inventory Management,34,Evening,1999-01-08T00:00:00,
Shipping and Receiving,Inventory Management,35,Evening,1999-01-08T00:00:00,
Shipping and Receiving,Inventory Management,72,Night,1999-01-27T00:00:00,
Shipping and Receiving,Inventory Management,85,Day,1999-02-03T00:00:00,
Shipping and Receiving,Inventory Management,121,Day,1999-02-21T00:00:00,
Shipping and Receiving,Inventory Management,195,Day,1999-03-30T00:00:00,
Executive,Executive General and Administration,140,Day,2003-12-16T00:00:00,
Executive,Executive General and Administration,109,Day,1999-02-15T00:00:00,